time 	 LH 	 RH
7691	 7691	 7691 
004.729	29.9950	70.0050	
004.794	29.5267	70.4733	
004.858	29.1110	70.8890	
004.918	28.7455	71.2545	
004.978	28.2529	71.7471	
005.043	27.6213	72.3787	
005.106	26.9040	73.0960	
005.166	25.9361	74.0639	
005.231	24.8972	75.1028	
005.294	23.8166	76.1834	
005.359	22.8012	77.1988	
005.418	21.8743	78.1257	
005.479	21.0288	78.9712	
005.544	20.2926	79.7074	
005.606	19.5454	80.4546	
7703	 7703	 7703 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.036	50.0000	50.0000	
000.038	51.0669	48.9331	
000.101	51.9832	48.0168	
000.175	52.7000	47.3000	
000.231	53.0529	46.9471	
000.297	53.2595	46.7405	
000.358	53.4059	46.5941	
000.425	53.4484	46.5516	
000.484	53.4826	46.5174	
000.544	53.1049	46.8951	
000.608	52.7180	47.2820	
000.676	52.3674	47.6326	
000.732	52.2757	47.7243	
000.797	52.4110	47.5890	
000.861	52.5075	47.4925	
000.925	52.9379	47.0621	
000.984	53.1712	46.8288	
001.044	53.4798	46.5202	
001.107	54.0493	45.9507	
001.175	54.8840	45.1160	
001.231	55.5925	44.4075	
001.296	56.2792	43.7208	
001.360	57.2051	42.7949	
001.424	58.3168	41.6832	
001.485	59.4783	40.5217	
001.544	60.8069	39.1931	
001.607	61.8057	38.1943	
001.676	62.6968	37.3032	
001.732	63.5436	36.4564	
001.796	64.1857	35.8143	
001.859	64.8283	35.1717	
001.924	65.3538	34.6462	
001.983	65.6224	34.3776	
002.044	65.4503	34.5497	
002.107	64.8072	35.1928	
002.176	63.6829	36.3171	
002.232	62.4466	37.5534	
002.296	60.8688	39.1312	
002.360	59.1560	40.8440	
002.425	57.1446	42.8554	
002.485	54.9836	45.0164	
002.545	52.8554	47.1446	
002.609	50.8647	49.1353	
002.676	49.0410	50.9590	
002.732	47.2826	52.7174	
002.796	45.7443	54.2557	
002.860	44.3026	55.6974	
002.924	42.9998	57.0002	
002.985	41.8210	58.1790	
003.045	40.7313	59.2687	
003.108	39.8155	60.1845	
003.177	39.2397	60.7603	
003.232	38.7628	61.2372	
003.297	38.4848	61.5152	
003.360	38.1707	61.8293	
003.424	38.1123	61.8877	
003.484	38.3142	61.6858	
003.544	38.4775	61.5225	
003.608	38.5738	61.4262	
003.676	38.6242	61.3758	
003.735	38.6754	61.3247	
003.796	38.4457	61.5543	
003.861	38.1856	61.8144	
003.924	37.5786	62.4214	
003.984	36.8038	63.1962	
004.044	35.9634	64.0366	
004.108	34.9403	65.0597	
004.177	33.9524	66.0476	
004.234	33.0424	66.9576	
004.297	32.0109	67.9891	
004.360	31.1752	68.8248	
004.424	30.4285	69.5715	
004.483	29.8018	70.1982	
004.544	29.0689	70.9311	
004.607	28.5478	71.4522	
004.675	28.0721	71.9279	
004.731	27.5439	72.4561	
004.796	27.1428	72.8572	
004.860	26.5911	73.4089	
004.924	26.0379	73.9621	
004.984	25.4285	74.5715	
005.044	24.8808	75.1192	
005.106	24.3897	75.6103	
005.176	23.9561	76.0439	
005.233	23.4542	76.5458	
005.296	23.0127	76.9873	
005.360	22.6498	77.3502	
005.425	22.3777	77.6223	
005.484	22.1070	77.8930	
005.544	21.7790	78.2210	
005.608	21.3093	78.6907	
005.676	20.7808	79.2192	
